"Airline ID","Name","Alias","IATA","ICAO","Callsign","Country","Active"
2,"135 Airways","\N",,"GNL","GENERAL","United States","N"
9,"3D Aviation","\N",,"SEC","SECUREX","United States","N"
10,"40-Mile Air","\N","Q5","MLA","MILE-AIR","United States","Y"
22,"Aloha Airlines","\N","AQ","AAH","ALOHA","United States","Y"
23,"Alaska Island Air","\N",,"AAK","ALASKA ISLAND","United States","N"
24,"American Airlines","\N","AA","AAL","AMERICAN","United States","Y"
25,"Aviation Management Corporation","\N",,"AAM","AM CORP","United States","N"
26,"Atlantis Airlines (USA)","\N",,"AAO","ATLANTIS AIR","United States","N"
31,"Astro Air International","\N",,"AAV","ASTRO-PHIL","United States","N"
35,"Allegiant Air","\N","G4","AAY","ALLEGIANT","United States","Y"
49,"Airborne Express","\N","GB","ABX","ABEX","United States","N"
50,"ABX Air","\N","GB","ABX","ABEX","United States","N"
53,"Academy Airlines","\N",,"ACD","ACADEMY","United States","N"
57,"Air Aurora","\N",,"AAI","BOREALIS","United States","N"
66,"Advance Leasing Company","\N","4G",,,"United States","N"
67,"Aztec Worldwide Airlines","\N","7A",,,"United States","N"
81,"Aerodyne","\N",,"ADY","AERODYNE","United States","N"
89,"Anderson Aviation","\N",,"ADX","ANDAX","United States","N"
109,"Alaska Central Express","\N","KO","AER","ACE AIR","United States","Y"
115,"Airway Express","\N",,"AEX","AVCO","United States","N"
117,"Aerial Transit Company","\N",,"AEZ","AERIAL TRANZ","United States","N"
141,"Air Guam","\N",,"AGM","AIR GUAM","United States","N"
145,"Air Cargo America","\N",,"MVM","PEGASUS","United States","N"
149,"Air Cargo Carriers","\N","2Q","SNC","NIGHT CARGO","United States","Y"
164,"Atlantic Gulf Airlines","\N",,"AGF","ATLANTIC GULF","United States","N"
177,"Atlantic Coast Airlines","\N",,"BLR","BLUE RIDGE","United States","N"
182,"Aero Flight Service","\N",,"AGY","FLIGHT GROUP","United States","N"
188,"Aspen Helicopters","\N",,"AHF","ASPEN","United States","N"
205,"Alpine Air Express","\N","5A","AIP","ALPINE AIR","United States","N"
210,"Airlift International","\N",,"AIR","AIRLIFT","United States","Y"
217,"Air Illinois","\N",,"AIL","AIR ILLINOIS","United States","N"
236,"Ameristar Jet Charter","\N",,"AJI","AMERISTAR","United States","N"
237,"A2 Jet Leasing","\N",,"AJJ","ATLANTIC JET","United States","N"
246,"Amerijet International","\N","M6","AJT","AMERIJET","United States","N"
249,"Alpha Jet International","\N",,"AJW","ALPHAJET","United States","N"
273,"American Flyers","\N",,"FYS","AMERICAN FLYERS","United States","N"
274,"Aero Coach Aviation","\N",,"DFA","AERO COACH","United States","N"
275,"Atlantic Southeast Airlines","\N",,"CAA","Chandler","United States","N"
277,"Air Logistics","\N",,"ALG","AIRLOG","United States","N"
280,"Air Lincoln","\N",,"ALN","CHICAGO LINCOLN","United States","N"
281,"America West Airlines","\N","HP","AWE","CACTUS","United States","Y"
282,"Air Wisconsin","\N","ZW","AWI","AIR WISCONSIN","United States","Y"
285,"Arizona Express Airlines","\N",,"TMP","TEMPE","United States","N"
287,"Allegheny Commuter Airlines","\N",,"ALO","ALLEGHENY","United States","Y"
293,"Alyeska Air Service","\N",,"ALY","ALYESKA","United States","N"
295,"Air Sunshine","\N",,"RSI","AIR SUNSHINE","United States","Y"
298,"Ameriflight","\N",,"AMF","AMFLIGHT","United States","N"
313,"Air Specialties Corporation","\N",,"AMR","AIR AM","United States","N"
315,"ATA Airlines","\N",,"AMT","AMTRAN","United States","Y"
318,"Air Midwest","\N","ZV","AMW","AIR MIDWEST","United States","N"
342,"Air Nevada","\N",,"ANV","AIR NEVADA","United States","N"
368,"Air Vegas","\N","6V","VGA","AIR VEGAS","United States","N"
384,"Atlantic Airlines","\N",,"BJK","BLACKJACK","United States","N"
387,"ACM Aviation","\N",,"BJT","BAY JET","United States","N"
394,"Aspen Aviation","\N",,"APQ","ASPEN BASE","United States","N"
397,"Arrow Air","\N","JW","APW","BIG A","United States","Y"
398,"Apex Air Cargo","\N",,"APX","PARCEL EXPRESS","United States","N"
403,"Aluminum Company Of America","\N",,"AQO","ALCOA SHUTTLE","United States","N"
406,"Aerodyne Charter Company","\N",,"AQZ","QUANZA","United States","N"
409,"Air Routing International Corp.","\N",,"ARC",,"United States","N"
413,"Arrowhead Airways","\N",,"ARH","ARROWHEAD","United States","N"
437,"Argosy Airways","\N",,"ARY","GOSEY","United States","N"
438,"Air Resorts","\N",,"ARZ","AIR RESORTS","United States","N"
452,"Atlantic Southeast Airlines","\N","EV","ASQ","ACEY","United States","Y"
463,"Air Transport Association","\N",,"ATA",,"United States","N"
469,"Air Charter World","\N",,"XAC",,"United States","N"
471,"Air Travel Corp.","\N",,"ATH","AIR TRAVEL","United States","N"
478,"Air Transport International","\N","8C","ATN","AIR TRANSPORT","United States","N"
485,"Atlas Airlines","\N",,"ATR","ATLAS-AIR","United States","N"
499,"Austin Express","\N",,"TXX","COWBOY","United States","N"
535,"Airvantage Incorporated","\N",,"AVV","AIRVANTAGE","United States","N"
579,"Action Airlines (Action Air Charter)","\N",,"AXQ","ACTION AIR","United States","N"
585,"Altus Airlines","\N",,"AXS","ALTUS","United States","N"
604,"Arizona Pacific Airways","\N",,"AZP","ARIZONA PACIFIC","United States","N"
616,"Air Continental Inc","\N",,"NAR","NIGHT AIR","United States","N"
618,"Air Newark","\N",,"NER","NEWAIR","United States","N"
626,"Angel Flight America","\N",,"NGF","ANGEL FLIGHT","United States","N"
631,"Advance Aviation Services","\N",,"XTJ",,"United States","N"
648,"Air Spirit","\N",,"SIP","AIR SPIRIT","United States","N"
651,"Aroostook Aviation","\N",,"PXX","PINE STATE","United States","N"
659,"American Eagle Airlines","\N","MQ","EGF","EAGLE FLIGHT","United States","Y"
672,"Aero Air","\N",,"WIL","WILLIAMETTE","United States","N"
674,"Aero Industries Inc","\N",,"WAB","WABASH","United States","N"
679,"Aeronautical Radio Inc","\N",,"XAA",,"United States","N"
684,"Air-Rep","\N",,"XPR",,"United States","N"
688,"Air Net Private Charter","\N",,"WDR","WIND RIDER","United States","N"
698,"Aircraft Performance Group","\N",,"XLB",,"United States","N"
704,"Air-Lift Associates","\N",,"WPK","WOLFPACK","United States","N"
710,"Aviation Partners","\N",,"WLT","WINGLET","United States","N"
714,"Aviation North","\N",,"WLV","WOLVERINE","United States","N"
721,"AMR Services Corporation","\N",,"XAM","ALLIANCE","United States","N"
722,"Airline Operations Services","\N",,"XAO",,"United States","N"
729,"AT and T Aviation Division","\N",,"XAT",,"United States","N"
731,"Averitt Air Charter","\N",,"VRT","AVERITT","United States","N"
741,"American Flight Service Systems","\N",,"XFS",,"United States","N"
765,"Air Charter Professionals","\N",,"CHV","CHARTAIR","United States","N"
767,"Arctic Circle Air Service","\N","5F","CIR","AIR ARCTIC","United States","N"
768,"Aviation Charter Services","\N",,"CKL","CIRCLE CITY","United States","N"
771,"Air Care Alliance","\N",,"CMF","COMPASSION","United States","N"
774,"Aquila Air","\N",,"CNH","CHENANGO","United States","N"
783,"Aero Charter and Transport","\N",,"CTA","CHAR-TRAN","United States","N"
791,"Air Transport","\N",,"CYO","COYOTE","United States","N"
792,"Access Air","\N","ZA","CYD","CYCLONE","United States","Y"
796,"Air Alpha","\N",,"DBA","DOUBLE-A","United States","N"
801,"Astar Air Cargo","\N","ER","DHL","DAHL","United States","N"
815,"Aerodynamics Incorporated","\N",,"DNJ","DYNAJET","United States","N"
822,"Aex Air","\N",,"DST","DESERT","United States","N"
824,"Aero Dynamics","\N",,"DYN","AERO DYNAMIC","United States","N"
847,"Epps Air Service","\N",,"EPS","EPPS AIR","United States","N"
863,"Air Exchange","\N",,"EXG","EXCHANGE","United States","N"
868,"Aviation Data Systems","\N",,"FBW",,"United States","N"
869,"Air Carriers","\N",,"FCI","FAST CHECK","United States","N"
882,"Air Florida","\N","QH","FLZ","AIR FLORIDA","United States","Y"
887,"Ford Motor Company","\N",,"FRD","FORD","United States","N"
912,"Aero Charter","\N",,"GLT","GASLIGHT","United States","N"
925,"Airlift Alaska","\N",,"GSP","GREEN SPEED","United States","N"
928,"Atlas Air","\N","5Y","GTI","GIANT","United States","Y"
943,"Air Tahoma","\N",,"HMA","TAHOMA","United States","N"
974,"Avfinity","\N",,"UTX",,"United States","N"
980,"Aerosmith Aviation","\N",,"JPR","JASPER","United States","N"
994,"Air South","\N",,"KKB","KHAKI BLUE","United States","N"
1005,"Av Atlantic","\N",,"KYC","DOLPHIN","United States","N"
1023,"American Aviation","\N",,"LKP","LAKE POWELL","United States","N"
1025,"Air Solutions","\N",,"LKY","LUCKY","United States","N"
1065,"Atlantic Aero and Mid-Atlantic Freight","\N",,"MDC","NIGHT SHIP","United States","N"
1070,"Asia Pacific Airlines","\N",,"MGE","MAGELLAN","United States","N"
1080,"AMP Incorporated","\N",,"MMP","AMP-INC","United States","N"
1119,"Atlantic Richfield Company","\N",,"NRS","NORTH SLOPE","United States","N"
1145,"Air Cargo Express International","\N",,"PFT","PROFREIGHT","United States","N"
1155,"Atlantic Coast Jet","\N",,"PRT","PATRIOT","United States","N"
1164,"Aero Taxi Aviation","\N",,"QKC","QUAKER CITY","United States","N"
1170,"Air Center Helicopters","\N",,"RAP","RAPTOR","United States","N"
1179,"Air Mobility Command","\N","MC","RCH","REACH","United States","N"
1215,"Air Cargo Masters","\N",,"RNR","RUNNER","United States","N"
1250,"Anoka Air Charter","\N",,"RZZ","RED ZONE","United States","N"
1253,"American Jet International","\N",,"SCM","SCREAMER","United States","N"
1263,"Air San Juan","\N",,"SJN","SAN JUAN","United States","N"
1281,"Aeropac","\N",,"STK","SAT PAK","United States","N"
1282,"Air St. Thomas","\N",,"STT","PARADISE","United States","N"
1295,"Air Cargo Express","\N",,"TDG","TURBO DOG","United States","N"
1297,"Air Today","\N",,"TDY","AIR TODAY","United States","N"
1315,"Airmark Aviation","\N",,"TRH","TRANSTAR","United States","N"
1316,"AirTran Airways","\N","FL","TRS","CITRUS","United States","Y"
1320,"Avcenter","\N",,"TTE","TETON","United States","N"
1333,"Air LA","\N",,"UED","AIR L-A","United States","N"
1339,"Air Castle Corporation / Global Airways","\N",,"GLB","GLO-AIR","United States","N"
1347,"Baker Aviation","\N","8Q","BAJ","BAKER AVIATION","United States","N"
1348,"Blackhawk Airways","\N",,"BAK","BLACKHAWK","United States","N"
1377,"Bar Harbor Airlines","\N",,"AJC","BAR HARBOR","United States","N"
1382,"Basler Flight Service","\N",,"BFC","BASLER","United States","N"
1402,"Bighorn Airways","\N",,"BHR","BIGHORN AIR","United States","N"
1410,"Big Island Air","\N",,"BIG","BIG ISLE","United States","N"
1413,"Boise Interagency Fire Center","\N",,"BIN","BISON-AIR","United States","N"
1414,"Bird Leasing","\N",,"BIR","BIRD AIR","United States","N"
1418,"Business Jet Solutions","\N",,"BJS","SOLUTION","United States","N"
1419,"Bankair","\N","B4","BKA","BANKAIR","United States","N"
1421,"Barken International","\N",,"BKJ","BARKEN JET","United States","N"
1429,"Blue Horizon Travel Club","\N",,"BLH","BLUE HORIZON","United States","N"
1435,"Baltic Aviation","\N",,"BLT","BALTAIR","United States","N"
1442,"Bemidji Airlines","\N","CH","BMJ","BEMIDJI","United States","Y"
1444,"Bowman Aviation","\N",,"BMN","BOWMAN","United States","N"
1453,"Bancstar - Valley National Corporation","\N",,"BNS","BANCSTAR","United States","N"
1459,"Boeing","\N",,"BOE","BOEING","United States","N"
1472,"Bering Air","\N","8E","BRG","BERING AIR","United States","Y"
1474,"Branson Airlines","\N",,"BRN","BRANSON","United States","N"
1481,"Braniff International Airways","\N","BN","BNF","Braniff","United States","N"
1482,"Buffalo Express Airlines","\N",,"BRX","BUFF EXPRESS","United States","N"
1492,"Big Sky Airlines","\N","GQ","BSY","BIG SKY","United States","N"
1496,"Baltia Air Lines","\N",,"BTL","BALTIA FLIGHT","United States","N"
1498,"Business Express","\N",,"GAA","BIZEX","United States","N"
1505,"Buffalo Airways","\N",,"BVA","BUFFALO AIR","United States","N"
1507,"Baron Aviation Services","\N",,"BVN","SHOW-ME","United States","N"
1517,"Redding Aero Enterprises","\N",,"BXR","BOXER","United States","N"
1518,"Berry Aviation","\N",,"BYA","BERRY","United States","N"
1529,"Baltimore Air Transport","\N",,"CPJ","CORPJET","United States","N"
1530,"Boston-Maine Airways","\N","E9","CXS","CLIPPER CONNECTION","United States","N"
1532,"Baltimore Airways","\N",,"EAH","EASTERN","United States","N"
1547,"Bombardier Business Jet Solutions","\N",,"LXJ","FLEXJET","United States","N"
1556,"Butte Aviation","\N",,"PPS","PIPESTONE","United States","N"
1558,"Business Airfreight","\N",,"RLR","RATTLER","United States","N"
1566,"Biz Jet Charter","\N",,"VLX","AVOLAR","United States","N"
1570,"Baseops International","\N",,"XBO",,"United States","N"
1576,"C and M Aviation","\N",,"TIP","TRANSPAC","United States","N"
1577,"C&M Airways","\N",,"RWG","RED WING","United States","N"
1591,"CKC Services","\N",,"CKC",,"United States","N"
1597,"CSA Air","\N",,"IRO","IRON AIR","United States","N"
1605,"Cal-West Aviation","\N",,"REZ","CAL AIR","United States","N"
1606,"California Air Shuttle","\N",,"CSL","CALIFORNIA SHUTTLE","United States","N"
1609,"Camai Air","\N","R9","CAM","AIR CAMAI","United States","N"
1629,"Cape Air","\N","9K","KAP","CAIR","United States","Y"
1631,"Cape Central Airways","\N",,"SEM","SEMO","United States","N"
1632,"Cape Smythe Air","\N",,"CMY","CAPE SMYTHE AIR","United States","N"
1633,"Capital Air Service","\N",,"CPX","CAPAIR","United States","N"
1636,"Capital Cargo International Airlines","\N","PT","CCI","CAPPY","United States","N"
1637,"Capital City Air Carriers","\N",,"CCQ","CAP CITY","United States","N"
1639,"Capitol Air Express","\N",,"CEX","CAPITOL EXPRESS","United States","N"
1640,"Capitol Wings Airline","\N",,"CWZ","CAPWINGS","United States","N"
1643,"Cardinal/Air Virginia","\N",,"FVA","AIR VIRGINIA","United States","N"
1649,"Cargo 360","\N","GG","GGC","LONG-HAUL","United States","N"
1665,"Caribbean Express","\N",,"TLC","CARIB-X","United States","N"
1671,"Carroll Air Service","\N",,"ULS","ULSTER","United States","N"
1672,"Casement Aviation","\N",,"CMT","CASEMENT","United States","N"
1673,"Casino Airline","\N",,"CSO","CASAIR","United States","N"
1674,"Casper Air Service","\N",,"CSP","CASPER AIR","United States","N"
1676,"Castle Aviation","\N",,"CSJ","CASTLE","United States","N"
1678,"Catalina Flying Boats","\N",,"CBT","CATALINA AIR","United States","N"
1690,"Centennial Airlines","\N",,"CNL","WYO-AIR","United States","N"
1696,"Central Airlines","\N",,"CTL","CENTRAL COMMUTER","United States","N"
1699,"Central Aviation","\N",,"YOG","YOGAN AIR","United States","N"
1703,"Central Flying Service","\N",,"CHA","CHARTER CENTRAL","United States","N"
1707,"Central Skyport","\N",,"CSI","SKYPORT","United States","N"
1709,"Centre Airlines","\N",,"DTV","DUTCH VALLEY","United States","N"
1714,"Centurion Air Cargo","\N","WE","CWC","CHALLENGE CARGO","United States","N"
1717,"Certified Air Dispatch","\N",,"XAD",,"United States","N"
1721,"Chalk's Ocean Airways","\N","OP","CHK","CHALKS","United States","N"
1724,"Challenge International Airlines","\N",,"OFF","CHALLENGE AIR","United States","N"
1727,"Champion Air","\N","MG","CCP","CHAMPION AIR","United States","N"
1730,"Channel Island Aviation","\N",,"CHN","CHANNEL","United States","N"
1731,"Chantilly Air","\N",,"WML","MARLIN","United States","N"
1732,"Chaparral Airlines","\N",,"CPL","CHAPARRAL","United States","N"
1735,"Charlie Hammonds Flying Service","\N",,"HMD","HAMMOND","United States","N"
1736,"Charlotte Air National Guard","\N",,"CGD",,"United States","N"
1739,"Chautauqua Airlines","\N","RP","CHQ","CHAUTAUQUA","United States","Y"
1744,"Cherokee Express","\N",,"CBM","BLUE MAX","United States","N"
1745,"Cherry Air","\N",,"CCY","CHERRY","United States","N"
1746,"Chesapeake Air Service","\N",,"CAB","CHESAPEAKE AIR","United States","N"
1747,"Chevron U.S.A","\N",,"CVR","CHEVRON","United States","N"
1748,"Cheyenne Airways","\N",,"CYA","CHEYENNE AIR","United States","N"
1749,"Chicago Air","\N",,"CGO","WILD ONION","United States","N"
1750,"Chicago Express","\N","C8","WDY","WINDY CITY","United States","N"
1773,"Chipola Aviation","\N",,"CEP","CHIPOLA","United States","N"
1774,"Chippewa Air Commuter","\N",,"CPW","CHIPPEWA-AIR","United States","N"
1776,"Christman Air System","\N",,"CAS","CHRISTMAN","United States","N"
1778,"Chrome Air Services","\N",,"CHO","CHROME AIR","United States","N"
1779,"Church Aircraft","\N",,"CHU","CHURCHAIR","United States","N"
1783,"Cirrus Air","\N",,"NTS","NITE STAR","United States","N"
1786,"Citationshares","\N",,"FIV","FIVE STAR","United States","N"
1787,"Citibank","\N",,"XCX",,"United States","N"
1791,"City of Bangor","\N",,"XBG",,"United States","N"
1797,"Citylink Airlines","\N",,"HSR","HOOSIER","United States","N"
1799,"Civil Air Patrol South Carolina Wing","\N",,"BKR","BOX KAR","United States","N"
1805,"Clark Aviation","\N",,"CLK","CLARKAIR","United States","N"
1807,"Clay Lacy Aviation","\N",,"CLY","CLAY-LACY","United States","N"
1814,"Coastal Air","\N","DQ",,"U.S. Virgin Islands","United States","Y"
1815,"Coastal Air Transport","\N",,"TCL","TRANS COASTAL","United States","N"
1816,"Coastal Airways","\N",,"CNG","SID-AIR","United States","N"
1818,"Cohlmia Aviation","\N",,"CHL","COHLMIA","United States","N"
1820,"Colemill Enterprises","\N",,"CLE","COLEMILL","United States","N"
1821,"Colgan Air","\N","9L","CJC","COLGAN","United States","Y"
1823,"Colt International","\N",,"CCX",,"United States","N"
1825,"Columbia Helicopters","\N",,"WCO","COLUMBIA HELI","United States","N"
1826,"Columbus Air Transport","\N",,"KLR","KAY-LER","United States","N"
1827,"Colvin Aviation","\N",,"GHP","GRASSHOPPER EX","United States","N"
1828,"Comair","\N","OH","COM","COMAIR","United States","Y"
1842,"Commonwealth Jet Service","\N",,"CJS","COMMONWEALTH","United States","N"
1843,"CommutAir","\N","C5","UCA","COMMUTAIR","United States","Y"
1860,"Compass Airlines","\N","CP","CPZ","Compass Rose","United States","Y"
1862,"Compuflight Operations Service","\N",,"XCO",,"United States","N"
1863,"Compuserve Incorporated","\N",,"XCS",,"United States","N"
1866,"Condor Aero Services","\N",,"CNR","CONAERO","United States","N"
1871,"Congressional Air","\N",,"CGA","CONGRESSIONAL","United States","N"
1874,"Conquest Airlines","\N",,"CAC","CONQUEST AIR","United States","N"
1875,"Conroe Aviation Services","\N",,"CXO","CONROE AIR","United States","N"
1880,"Contel ASC","\N",,"XCL",,"United States","N"
1881,"Continental Airlines","\N","CO","COA","CONTINENTAL","United States","Y"
1883,"Continental Express","\N","CO",,"JETLINK","United States","Y"
1884,"Continental Micronesia","\N","CS","CMI","AIR MIKE","United States","Y"
1885,"Continental Oil","\N",,"CON","CONOCO","United States","N"
1887,"Cook Inlet Aviation","\N",,"CKA","COOK-AIR","United States","N"
1891,"Copper State Air Service","\N",,"COP","COPPER STATE","United States","N"
1900,"Corporate Air","\N",,"CPT","AIR SPUR","United States","N"
1901,"Corporate Air","\N",,"CPR","CORPAIR","United States","N"
1902,"Corporate Aircraft Company","\N",,"CPO","MOKAN","United States","N"
1904,"Corporate Aviation Services","\N",,"CKE","CHECKMATE","United States","N"
1905,"Corporate Flight International","\N",,"VHT","VEGAS HEAT","United States","N"
1906,"Corporate Flight Management","\N",,"VTE","VOLUNTEER","United States","N"
1907,"Corporate Jets","\N",,"CJI","SEA JET","United States","N"
1915,"Courier Services","\N",,"CSD","DELIVERY","United States","N"
1929,"Crow Executive Air","\N",,"CWX","CROW EXPRESS","United States","N"
1930,"Crown Air Systems","\N",,"CKR","CROWN AIR","United States","N"
1931,"Crown Airways","\N",,"CRO","CROWN AIRWAYS","United States","Y"
1934,"Cryderman Air Service","\N",,"CTY","CENTURY","United States","N"
1935,"Crystal Shamrock","\N",,"CYT","CRYSTAL-AIR","United States","N"
1937,"Cumberland Airways (Nicholson Air Service)","\N",,"CBL","CUMBERLAND","United States","N"
1938,"Custom Air Transport","\N",,"CTT","CATT","United States","N"
1948,"D & D Aviation","\N",,"DDA","DUSTY","United States","N"
1949,"D&K Aviation","\N",,"DNK","DIRECT JET","United States","N"
1965,"DSWA","\N",,"RSK","REDSKIN","United States","N"
1970,"Daimler-Chrysler","\N",,"DCX","DAIMLER","United States","N"
1974,"Dallas Express Airlines","\N",,"DXP","DALLAS EXPRESS","United States","N"
1976,"Danbury Airways","\N",,"DSA","DANBURY AIRWAYS","United States","N"
1985,"Dash Air Charter","\N",,"DSH","DASH CHARTER","United States","N"
1989,"Dassault Falcon Jet Corporation","\N",,"CVF","CLOVERLEAF","United States","N"
1992,"Date Transformation Corp","\N",,"XDT",,"United States","N"
1995,"Dawn Air","\N",,"DWN","DAWN AIR","United States","N"
1996,"DayJet","\N",,"DJS","DAYJET","United States","N"
2000,"Decatur Aviation","\N",,"DAA","DECUR","United States","N"
2004,"Deere and Company","\N",,"JDC","JOHN DEERE","United States","N"
2005,"Delaware Skyways","\N",,"DWR","DELAWARE","United States","N"
2008,"Delta Air Elite","\N",,"ELJ","ELITE JET","United States","N"
2009,"Delta Air Lines","\N","DL","DAL","DELTA","United States","Y"
2012,"Delta State University","\N",,"DSU","DELTA STATE","United States","N"
2014,"Denver Express","\N",,"FEC","FALCON EXPRESS","United States","N"
2015,"Denver Jet","\N",,"DJT","DENVER JET","United States","N"
2025,"Diamond Aviation","\N",,"SPK","SPARKLE","United States","N"
2027,"Digital Equipment Corporation","\N",,"DGT","DIGITAL","United States","N"
2031,"Direct Air","\N",,"DIA","BLUE SKY","United States","N"
2032,"Direct Air trading as Midway Connection","\N",,"XAP","MID-TOWN","United States","N"
2036,"Discover Air","\N",,"DCV","DISCOVER","United States","N"
2037,"Discovery Airways","\N","DH","DVA","DISCOVERY AIRWAYS","United States","N"
2038,"Dispatch Services","\N",,"XDS",,"United States","N"
2040,"Dixie Airways","\N",,"DEE","TACAIR","United States","N"
2044,"Dolphin Express Airlines","\N",,"IXX","ISLAND EXPRESS","United States","N"
2059,"Drummond Island Air","\N",,"DRE","MICHIGAN","United States","N"
2066,"Duncan Aviation","\N",,"PHD","PANHANDLE","United States","N"
2073,"Dwyer Aircraft Services","\N",,"DFS","DWYAIR","United States","N"
2074,"Dynair Services","\N",,"XDY",,"United States","N"
2078,"E H Darby Aviation","\N",,"EHD","PLATINUM AIR","United States","N"
2092,"Eagle Aero","\N",,"ICR","ICARUS FLIGHTS","United States","N"
2101,"Eagle Jet Charter","\N",,"EGJ","EAGLE JET","United States","N"
2102,"Eaglemed (Ballard Aviation)","\N",,"EMD","EAGLEMED","United States","N"
2109,"East Coast Jets","\N",,"ECJ","EASTCOAST JET","United States","N"
2110,"East Hampton Aire","\N",,"EHA","AIRE HAMPTON","United States","N"
2111,"East Kansas City Aviation","\N",,"EKC","BLUE GOOSE","United States","N"
2119,"Eastern Carolina Aviation","\N",,"ECI","EASTERN CAROLINA","United States","N"
2122,"Eastern Metro Express","\N",,"EME","EMAIR","United States","N"
2126,"Eastwind Airlines","\N","W9","SGR","STINGER","United States","N"
2128,"Eckles Aircraft","\N",,"CMN","CIMMARON AIRE","United States","N"
2129,"Eclipse Aviation","\N",,"EJT","ECLIPSE JET","United States","N"
2139,"Edgartown Air","\N",,"SLO","SLOW","United States","N"
2141,"Edwards Jet Center of Montana","\N",,"EDJ","EDWARDS","United States","N"
2156,"Elan Express","\N",,"ELX","ELAN","United States","N"
2173,"Elliott Aviation","\N",,"ELT","ELLIOT","United States","N"
2177,"Embassy Freight Company","\N",,"EFT","EMBASSY FREIGHT","United States","N"
2179,"Embry-Riddle Aeronautical University","\N",,"XSL","SATSLAB","United States","N"
2181,"Emery Worldwide Airlines","\N",,"EWW","EMERY","United States","N"
2185,"Empire Air Service","\N",,"EMP","EMPIRE","United States","N"
2186,"Empire Airlines","\N","EM","CFS","EMPIRE AIR","United States","N"
2203,"Entergy Services","\N",,"ENS","ENTERGY SHUTTLE","United States","N"
2205,"Eos Airlines","\N","E0","ESS","NEW DAWN","United States","N"
2209,"Era Helicopters","\N",,"ERH","ERAH","United States","N"
2212,"Erie Airways","\N",,"ERE","AIR ERIE","United States","N"
2261,"Evergreen International Airlines","\N","EZ","EIA","EVERGREEN","United States","Y"
2262,"Everts Air Alaska/Everts Air Cargo","\N",,"VTS","EVERTS","United States","N"
2273,"Executive Air Charter","\N",,"EAC","EXECAIR","United States","N"
2274,"Executive Air Fleet","\N",,"XAF",,"United States","N"
2277,"Executive Airlines","\N","OW","EXK","EXECUTIVE EAGLE","United States","N"
2280,"Executive Flight","\N",,"EXE","EXEC","United States","N"
2283,"Executive Jet Management","\N",,"EJM","JET SPEED","United States","N"
2289,"Express Air","\N",,"FXA","EFFEX","United States","N"
2291,"Express Line Aircompany","\N",,"XPL","EXPRESSLINE","United States","N"
2292,"Express Net Airlines","\N",,"XNA","EXPRESSNET","United States","N"
2293,"Express One International","\N","EO","LHN","LONGHORN","United States","Y"
2295,"ExpressJet","\N","XE","BTA","JET LINK","United States","Y"
2298,"NetJets","\N",,"EJA",,"United States","N"
2299,"F.S. Air Service","\N",,"EYE","SOCKEYE","United States","N"
2301,"FINFO Flight Inspection Aircraft","\N",,"FLC","FLIGHT CHECK","United States","N"
2303,"FLTPLAN","\N",,"DCM","DOT COM","United States","N"
2315,"Fairways Corporation","\N",,"FWY","FAIRWAYS","United States","N"
2318,"Falcon Air Express","\N",,"FAO","PANTHER","United States","N"
2323,"Falwell Aviation","\N",,"FAW","FALWELL","United States","N"
2325,"Farmingdale State University","\N",,"FDL","FARMINGDALE STATE","United States","N"
2332,"Farwest Airlines","\N",,"FRW","FARWEST","United States","N"
2336,"Fayetteville Flying Service and Scheduled Skyways System","\N",,"SKM","SKYTEM","United States","N"
2340,"Federal Armored Service","\N",,"FRM","FEDARM","United States","N"
2341,"Federal Aviation Administration","\N",,"NHK","NIGHTHAWK","United States","N"
2342,"Federal Express","\N","FX","FDX","FEDEX","United States","N"
