"Airline ID","Name","Alias","IATA","ICAO","Callsign","Country","Active"
2347,"Financial Airxpress","\N",,"FAK","FACTS","United States","N"
2348,"Fine Airlines","\N",,"FBF","FINE AIR","United States","N"
2359,"First Flying Squadron","\N",,"GGA","JAWJA","United States","N"
2364,"Flagship Express Services","\N",,"FSX","FLAG","United States","N"
2366,"Flamenco Airways","\N",,"WAF","FLAMENCO","United States","N"
2367,"Flamingo Air","\N",,"FMR","FLAMINGO AIR","United States","N"
2374,"Flight Alaska","\N",,"TUD","TUNDRA","United States","N"
2379,"Flight Express","\N",,"FLX","FLIGHT EXPRESS","United States","N"
2382,"Flight International","\N",,"IVJ","INVADER JACK","United States","N"
2383,"Flight Line","\N",,"MIT","MATCO","United States","N"
2384,"Flight Ops International","\N",,"FOI",,"United States","N"
2385,"Flight Options","\N",,"OPT","OPTIONS","United States","N"
2389,"Flight Trac","\N",,"CCK","CABLE CHECK","United States","N"
2393,"Flightcraft","\N",,"CSK","CASCADE","United States","N"
2397,"Flightstar Corporation","\N",,"FSR","FLIGHTSTAR","United States","N"
2398,"Flightworks","\N",,"KDZ","KUDZU","United States","N"
2399,"Flint Aviation Services","\N",,"FAZ","FLINT AIR","United States","N"
2400,"Florida Air","\N",,"OJY","OHJAY","United States","N"
2401,"Florida Coastal Airlines","\N","PA","FCL","FLORIDA COASTAL","United States","N"
2402,"Florida Department of Agriculture","\N",,"FFS","FORESTRY","United States","N"
2403,"Florida Jet Service","\N",,"FJS","FLORIDAJET","United States","N"
2404,"Florida West International Airways","\N","RF","FWL","FLO WEST","United States","Y"
2435,"Focus Air","\N",,"FKS","FOCUS","United States","N"
2443,"Forward Air International Airlines","\N","BN",,,"United States","N"
2444,"Foster Aviation","\N",,"FSA","FOSTER-AIR","United States","N"
2448,"Four Star Aviation / Four Star Cargo","\N","HK","FSC","FOUR STAR","United States","N"
2449,"Four Winds Aviation","\N",,"WDS","WINDS","United States","N"
2454,"Freedom Air","\N","FP","FRE","FREEDOM","United States","Y"
2456,"Freedom Airlines","\N",,"FRL","FREEDOM AIR","United States","Y"
2459,"Freight Runners Express","\N",,"FRG","FREIGHT RUNNERS","United States","N"
2465,"Friendship Air Alaska","\N",,"FAL","FRIENDSHIP","United States","N"
2468,"Frontier Airlines","\N","F9","FFT","FRONTIER FLIGHT","United States","Y"
2469,"Frontier Commuter","\N",,"ITR","OUT BACK","United States","N"
2470,"Frontier Flying Service","\N","2F","FTA","FRONTIER-AIR","United States","Y"
2474,"Full Express","\N",,"GAX","GRAND AIRE","United States","N"
2483,"GAK/Mitchell Aero","\N",,"MTA","GAK AVIATION","United States","N"
2485,"GB Airlink","\N",,"GBX","ISLAND TIGER","United States","N"
2487,"GCS Air Service","\N",,"GCS","GALION","United States","N"
2495,"GP Express Airlines","\N",,"GPE","REGIONAL EXPRESS","United States","N"
2499,"GTA Air","\N",,"GTX","BIG-DEE","United States","N"
2504,"Gail Force Express","\N",,"GFC","GAIL FORCE","United States","N"
2510,"Galena Air Service","\N",,"GAS","GALENA AIR SERVICE","United States","N"
2511,"Galileo International","\N","1G",,,"United States","N"
2518,"Garden State Airlines","\N",,"GSA","GARDEN STATE","United States","N"
2526,"Gemini Air Cargo","\N","GR","GCO","GEMINI","United States","N"
2533,"General Aviation Flying Services","\N",,"GTH","GOTHAM","United States","N"
2535,"General Motors","\N",,"GMC","GENERAL MOTORS","United States","N"
2557,"Gibson Aviation","\N",,"NTC","NIGHT CHASE","United States","N"
2558,"Global Air Charter","\N",,"RPS","RESPONSE","United States","N"
2567,"Global Jet Corporation","\N",,"NSM","THUNDERCLOUD","United States","N"
2569,"Global Sky Aircharter","\N",,"GSK","GLOBAL SKY","United States","N"
2571,"Global System","\N",,"XGS",,"United States","N"
2572,"Global Weather Dynamics","\N",,"XGW",,"United States","N"
2577,"GoJet Airlines","\N","G7","GJS","GATEWAY","United States","Y"
2586,"Golden Airlines","\N",,"GDD","GOLDEN AIRLINES","United States","N"
2587,"Golden Pacific Airlines","\N",,"GPA","GOLDEN PAC","United States","N"
2601,"Grand Aire Express","\N",,"GAE","GRAND EXPRESS","United States","N"
2602,"Grand Airways","\N",,"GND","GRAND VEGAS","United States","N"
2603,"Grand Canyon Airlines","\N",,"CVU","CANYON VIEW","United States","N"
2604,"Grant Aviation","\N","GS","GUN","HOOT","United States","N"
2606,"Great American Airways","\N",,"GRA","GREAT AMERICAN","United States","N"
2607,"Great Lakes Airlines","\N","ZK","GLA","LAKES AIR","United States","Y"
2609,"Great Plains Airlines","\N",,"GRP","GREAT PLAINS","United States","N"
2611,"Great Western Air","\N",,"GWA","G-W AIR","United States","N"
2635,"Gulf & Caribbean Cargo / Contract Air Cargo","\N",,"TSU","TRANSAUTO","United States","N"
2639,"Gulf Air Inc","\N",,"GAT","GULF TRANS","United States","N"
2640,"Gulf Central Airlines","\N",,"GCN","GULF CENTRAL","United States","N"
2641,"Gulf Flite Center","\N",,"SFY","SKY FLITE","United States","N"
2643,"Gulfstream Aerospace","\N",,"GLF","GULFSTREAM TEST","United States","N"
2644,"Gulfstream Airlines","\N",,"GFS","GULFSTAR","United States","N"
2645,"Gulfstream International Airlines","\N",,"GFT","GULF FLIGHT","United States","Y"
2646,"Gull Air","\N",,"GUL","GULL-AIR","United States","N"
2656,"Hadison Aviation","\N",,"FMS","HADI","United States","N"
2657,"Hageland Aviation Services","\N","H6","HAG","HAGELAND","United States","Y"
2677,"Hand D Aviation","\N",,"WVA","WABASH VALLEY","United States","N"
2683,"Harbor Airlines","\N","HB","HAR","HARBOR","United States","N"
2688,"Hawaiian Airlines","\N","HA","HAL","HAWAIIAN","United States","Y"
2689,"Hawaiian Pacific Airlines","\N","HP",,,"United States","N"
2693,"Hawkaire","\N",,"HKI","HAWKEYE","United States","N"
2745,"Helitrans Air Service","\N",,"HTS","HELITRANS","United States","N"
2753,"Heritiage Flight (Valley Air Services)","\N",,"SSH","SNOWSHOE","United States","N"
2754,"Herman's Markair Express","\N",,"MRX","SPEEDMARK","United States","N"
2763,"Hogan Air","\N",,"HGA","HOGAN AIR","United States","N"
2769,"Holiday Airlines","\N",,"HOL","HOLIDAY","United States","N"
2776,"Hop-A-Jet","\N",,"HPJ","HOPA-JET","United States","N"
2778,"Horizon Air","Horizon Airlines","QX","QXE","HORIZON AIR","United States","Y"
2779,"Horizon Air Service","\N",,"KOK","KOKO","United States","N"
2784,"Horizons Unlimited","\N",,"HUD","HUD","United States","N"
2787,"Houston Helicopters","\N",,"HHO","HOUSTON HELI","United States","N"
2790,"Hub Airlines","\N",,"HUB","HUB","United States","N"
2791,"Huessler Air Service","\N",,"HUS","HUESSLER","United States","N"
2792,"Hughes Aircraft Company","\N",,"GMH","HUGHES EXPRESS","United States","N"
2793,"Hummingbird Helicopter Service","\N",,"WHR","WHIRLEYBIRD","United States","N"
2801,"IBC Airways","\N","II","CSQ","CHASQUI","United States","N"
2808,"IFL Group","\N",,"IFL","EIFEL","United States","N"
2820,"ITA Software","\N","1U",,,"United States","N"
2841,"Iliamna Air Taxi","\N",,"IAR","ILIAMNA AIR","United States","N"
2846,"Imperial Airways","\N",,"PNX","PHOENIX","United States","N"
2848,"Independence Air","\N","DH","IDE","INDEPENDENCE AIR","United States","N"
2855,"Indigo","\N","I9","IBU","INDIGO BLUE","United States","Y"
2876,"Inter-Air","\N",,"ITA","CAFEX","United States","N"
2878,"Inter-Island Air","\N",,"UGL","UGLY VAN","United States","N"
2879,"Inter-Mountain Airways","\N",,"IMA","INTER-MOUNTAIN","United States","N"
2880,"Inter-State Aviation","\N",,"ITS","INTER-STATE","United States","N"
2898,"International Air Corporation","\N",,"EXX","EXPRESS INTERNATIONAL","United States","N"
2899,"International Air Service","\N",,"IAS","STARFLEET","United States","N"
2902,"International Business Aircraft","\N",,"IBY","CENTRAL STAGE","United States","N"
2904,"International Charter Xpress","\N",,"ICX","INTEX","United States","N"
2907,"International Flight Training Academy","\N",,"IFX","IFTA","United States","N"
2908,"International Jet Aviation Services","\N",,"IJA","I-JET","United States","N"
2909,"International Jet Charter","\N",,"HSP","HOSPITAL","United States","N"
2914,"Interport Corporation","\N",,"IPT","INTERPORT","United States","N"
2921,"Iowa Airways","\N",,"IOA","IOWA AIR","United States","N"
2935,"Island Air Charters","\N",,"ILF","ISLAND FLIGHT","United States","N"
2936,"Island Air Express","\N",,"XYZ","RAINBIRD","United States","N"
2937,"Island Airlines","\N","IS",,,"United States","Y"
2941,"Island Express","\N","2S","SDY","SANDY ISLE","United States","N"
2943,"Island Helicopters","\N",,"MTP","METROCOPTER","United States","N"
2949,"Isle Grande Flying School","\N",,"IGS","ISLA GRANDE","United States","N"
2967,"J P Hunt Air Carriers","\N",,"RFX","REFLEX","United States","N"
2974,"JM Family Aviation","\N",,"TQM","TACOMA","United States","N"
2984,"Janair","\N",,"JAX","JANAIR","United States","N"
2995,"Jenney Beechcraft","\N",,"JNY","JENAIR","United States","N"
2996,"Jeppesen Data Plan","\N",,"XLD",,"United States","N"
3001,"Jet Airways","\N","QJ",,,"United States","Y"
3002,"Jet Aspen Air Lines","\N",,"JTX","JET ASPEN","United States","N"
3004,"Jet Aviation Business Jets","\N",,"BZF","BIZFLEET","United States","N"
3006,"Jet Charter","\N",,"JCT","JET CHARTER","United States","N"
3009,"Jet Courier Service","\N",,"DWW","DON JUAN","United States","N"
3010,"Jet East International","\N",,"JED","JET EAST","United States","N"
3013,"Jet Freighters","\N",,"CFT","CASPER FREIGHT","United States","N"
3017,"Jet Link Aviation","\N",,"HTL","HEARTLAND","United States","N"
3029,"JetBlue Airways","\N","B6","JBU","JETBLUE","United States","Y"
3036,"Jetcorp","\N",,"UEJ","JETCORP","United States","N"
3058,"Jettrain Corporation","\N",,"JTN","JETTRAIN","United States","N"
3059,"Jetways of Iowa","\N",,"JWY","JETWAYS","United States","N"
3063,"Jim Hankins Air Service","\N",,"HKN","HANKINS","United States","N"
3064,"Jim Ratliff Air Service","\N",,"RAS","SHANHIL","United States","N"
3067,"Johnson Air","\N",,"JHN","AIR JOHNSON","United States","N"
3069,"Johnston Airways","\N",,"JMJ","JOHNSTON","United States","N"
3083,"Justice Prisoner and Alien Transportation System","\N",,"DOJ","JUSTICE","United States","N"
3093,"Kaiser Air","\N",,"KAI","KAISER","United States","N"
3094,"Kalitta Air","\N","K4","CKS","CONNIE","United States","N"
3095,"Kalitta Charters","\N",,"KFS","KALITTA","United States","N"
3101,"Kansas State University","\N",,"KSU","K-STATE","United States","N"
3111,"Kavouras Inc","\N",,"XKA",,"United States","N"
3123,"Kenmore Air","\N","M5","KEN","KENMORE","United States","Y"
3128,"Key Airlines","\N",,"KEY","KEY AIR","United States","N"
3129,"Key Lime Air","\N",,"LYM","KEY LIME","United States","N"
3130,"Keystone Aerial Surveys","\N",,"FTP","FOOTPRINT","United States","N"
3141,"Kingfisher Air Services","\N",,"BEZ","SEA BREEZE","United States","N"
3149,"Kitty Hawk Aircargo","\N",,"KHA","AIR KITTYHAWK","United States","N"
3150,"Kitty Hawk Airways","\N",,"KHC","CARGO HAWK","United States","N"
3151,"Kiwi International Air Lines","\N","KP","KIA","KIWI AIR","United States","N"
3153,"Knighthawk Express","\N",,"KHX","RIZZ","United States","N"
3190,"L A Helicopter","\N",,"LAH","STAR SHIP","United States","N"
3191,"L J Aviation","\N",,"LJY","ELJAY","United States","N"
3194,"L'Express","\N",,"LEX","LEX","United States","N"
3195,"L-3 Communications Flight Internation Aviation","\N",,"FNT","FLIGHT INTERNATIONAL","United States","N"
3196,"L.A.B. Flying Service","\N","JF","LAB","LAB","United States","N"
3214,"LTV Jet Fleet Corporation","\N",,"JFC","JET-FLEET","United States","N"
3218,"Labcorp","\N",,"SKQ","SKYLAB","United States","N"
3221,"Lake Havasu Air Service","\N",,"HCA","HAVASU","United States","N"
3222,"Lakeland Aviation","\N",,"LKL","LAKELAND","United States","N"
3223,"Laker Airways","\N",,"LKR","LAKER","United States","N"
3224,"Laker Airways (Bahamas)","\N",,"LBH","LAKER BAHAMAS","United States","N"
3236,"Laredo Air","\N",,"LRD","LAREDO AIR","United States","N"
3241,"Laughlin Express","\N",,"LEP","LAUGHLIN EXPRESS","United States","N"
3243,"Lawrence Aviation","\N",,"LAR","LAWRENCE","United States","N"
3245,"Lease-a-Plane International","\N",,"LPL","LEASE-A-PLANE","United States","N"
3248,"Lebanon Airport Development Corporation","\N",,"LAD","LADCO-AIR","United States","N"
3250,"Leconte Airlines","\N",,"LCA","LECONTE","United States","N"
3252,"Legend Airlines","\N",,"LGD","LEGENDARY","United States","N"
3253,"Leisure Air","\N",,"LWD","LEISURE WORLD","United States","N"
3254,"Lentini Aviation","\N",,"LEN","LENTINI","United States","N"
3265,"Lincoln Air National Guard","\N",,"GDQ",,"United States","N"
3267,"Lindsay Aviation","\N",,"LSY","LINDSAY AIR","United States","N"
3297,"Lockheed Air Terminal","\N",,"XLG",,"United States","N"
3298,"Lockeed Aircraft Corporation","\N",,"LAC","LOCKHEED","United States","N"
3299,"Lockheed DUATS","\N",,"XDD",,"United States","N"
3300,"Lockheed Martin Aeronautics","\N",,"CBD","CATBIRD","United States","N"
3301,"Lockheed Martin Aeronautics Company","\N",,"LNG","LIGHTNING","United States","N"
3309,"Lone Star Airlines","\N",,"LSS","LONE STAR","United States","N"
3310,"Long Island Airlines","\N",,"ORA","LONG ISLAND","United States","N"
3337,"Lynch Flying Service","\N",,"LCH","LYNCH AIR","United States","N"
3338,"Lynden Air Cargo","\N","L2","LYC","LYNDEN","United States","N"
3339,"Lynx Air International","\N",,"LXF","LYNX FLIGHT","United States","N"
3344,"M & N Aviation","\N",,"JNH","JONAH","United States","N"
3361,"Mac Dan Aviation Corporation","\N",,"MCN","MAC DAN","United States","N"
3369,"Mahalo Air","\N",,"MLH","MAHALO","United States","N"
3372,"Maine Aviation","\N",,"MAT","MAINE-AV","United States","N"
3373,"Majestic Airlines","\N",,"MAJ","MAGIC AIR","United States","N"
3383,"Mall Airways","\N",,"MLS","MALL-AIRWAYS","United States","N"
3397,"Mannion Air Charter","\N",,"MAN","MANNION","United States","N"
3404,"Markair","\N",,"MRK","MARKAIR","United States","N"
3409,"Martin Aviation Services","\N",,"XMA",,"United States","N"
3412,"Martinaire","\N",,"MRA","MARTEX","United States","N"
3415,"Maryland State Police","\N",,"TRP","TROOPER","United States","N"
3416,"Massachusetts Institute of Technology","\N",,"MTH","RESEARCH","United States","N"
3419,"Master Planner","\N",,"MPL",,"United States","N"
3427,"Maverick Airways","\N",,"MVR","MAV-AIR","United States","N"
3434,"Maxjet Airways","\N","MY","MXJ","MAX-JET","United States","N"
3436,"May Air Xpress","\N",,"MXP","BEECHNUT","United States","N"
3441,"McCall Aviation","\N",,"MKL","MCCALL","United States","N"
3442,"McDonnell Douglas","\N",,"DAC","DACO","United States","N"
3443,"McNeely Charter Services","\N",,"MDS","MID-SOUTH","United States","N"
3444,"Med-Trans of Florida","\N",,"MEK","MED-TRANS","United States","N"
3450,"Medjet International","\N",,"MEJ","MEDJET","United States","N"
3457,"Mercury Aircourier Service","\N",,"MEC","MERCAIR","United States","N"
3459,"Meridian Air Cargo","\N",,"MRD","MERIDIAN","United States","N"
3464,"Merlin Airways","\N",,"MEI","AVALON","United States","N"
3466,"Mesa Airlines","\N","YV","ASH","AIR SHUTTLE","United States","Y"
3467,"Mesaba Airlines","\N","XJ","MES","MESABA","United States","Y"
3470,"Methow Aviation","\N",,"MER","METHOW","United States","N"
3472,"Metro Express","\N",,"MEX","EAGLE EXPRESS","United States","N"
3473,"Metroflight","\N",,"MTR","METRO","United States","N"
3481,"Miami Air Charter","\N",,"HUR","HURRICANE CHARTER","United States","N"
3482,"Miami Air International","\N","GL","BSK","BISCAYNE","United States","N"
3483,"Miami Valley Aviation","\N",,"OWL","NIGHT OWL","United States","N"
3488,"Mid-Pacific Airlines","\N",,"MPA","MID PAC","United States","N"
3489,"Midamerica Jet","\N",,"MJR","MAJOR","United States","N"
3492,"Midline Air Freight","\N",,"MFR","MIDLINE FREIGHT","United States","N"
3493,"Midstate Airlines","\N",,"MIS","MIDSTATE","United States","N"
3494,"Midway Airlines","\N","JI","MDW","MIDWAY","United States","Y"
3495,"Midway Express","\N",,"FLA","PALM","United States","N"
3496,"Midwest Air Freighters","\N",,"FAX","FAIRFAX","United States","N"
3497,"Midwest Airlines","\N","YX","MEP",,"United States","Y"
3499,"Midwest Aviation","\N",,"NIT","NIGHTTRAIN","United States","N"
3500,"Midwest Aviation Division","\N",,"MWT","MIDWEST","United States","N"
3505,"Miller Flying Services","\N",,"MFS","MILLER TIME","United States","N"
3506,"Million Air","\N",,"OXO","MILL AIR","United States","N"
3510,"Minebea Technologies","\N",,"EBE","MINEBEA","United States","N"
3522,"Mississippi State University","\N",,"BDG","BULLDOG","United States","N"
3523,"Mississippi Valley Airways","\N",,"MVA","VALAIR","United States","N"
3533,"Monarch Airlines","\N",,"MNH","MONARCH AIR","United States","N"
3541,"Mooney Aircraft Corporation","\N",,"MNY","MOONEY FLIGHT","United States","N"
3543,"Morris Air Service","\N",,"MSS","WASATCH","United States","N"
3544,"Morrison Flying Service","\N",,"MRO","MORRISON","United States","N"
3549,"Mountain Air Cargo","\N",,"MTN","MOUNTAIN","United States","N"
3551,"Mountain Air Express","\N",,"PKP","PIKES PEAK","United States","N"
3552,"Mountain Air Service","\N",,"BRR","MOUNTAIN AIR","United States","N"
3553,"Mountain Bird","\N",,"MBI","MOUNTAIN BIRD","United States","N"
3554,"Mountain High Aviation","\N",,"MHA","MOUNTAIN HIGH","United States","N"
3556,"Mountain Valley Air Service","\N",,"MTV","MOUNTAIN VALLEY","United States","N"
3557,"Mowhawk Airlines","\N",,"MOW","MOHAWK AIR","United States","N"
3561,"Multi-Aero","\N",,"WBR","WEBER","United States","N"
3564,"Murray Air","\N",,"MUA","MURRAY AIR","United States","N"
3584,"Nantucket Airlines","\N","DV","ACK","ACK AIR","United States","N"
3586,"Napier Air Service Inc","\N",,"NAP","NAPIER","United States","N"
3590,"Nashville Jet Charters","\N",,"NJC","NASHVILLE JET","United States","N"
3592,"Natioanl Air Traffic Controllers Association","\N",,"NTK","NATCA","United States","N"
3595,"National Airlines","\N",,"NAN","NATION AIR","United States","N"
3597,"National Airlines","\N","N7","ROK","RED ROCK","United States","N"
3598,"National Airlines","\N",,"NAL","NATIONAL","United States","N"
3604,"National Express","\N",,"NXT","NATIONAL FREIGHT","United States","N"
3607,"National Jet Service","\N",,"AND","AIR INDIANA","United States","N"
3609,"National Oceanic and Atmospheric Administration","\N",,"NAA","NOAA","United States","N"
3612,"Nations Air Express Inc","\N",,"NAE","NATIONS EXPRESS","United States","N"
3626,"Navinc Airlines Services","\N",,"XNV",,"United States","N"
3627,"Navitaire","\N","1N",,,"United States","N"
3630,"State of Nebraska","\N",,"NEB","NEBRASKA","United States","N"
3641,"NetJets","\N","1I","EJA","EXECJET","United States","Y"
3643,"New England Air Express","\N",,"NEZ","ENGAIR","United States","N"
3644,"New England Airlines","\N","EJ","NEA","NEW ENGLAND","United States","Y"
3646,"New World Jet Corporation","\N",,"NWD","NEW WORLD","United States","N"
3647,"New York Helicopter","\N",,"NYH","NEW YORK","United States","N"
3648,"New York State Police","\N",,"GRY","GRAY RIDER","United States","N"
3650,"Newair","\N",,"HVA","HAVEN-AIR","United States","N"
3653,"Nextflight Aviation","\N",,"NXF","NEXTFLIGHT","United States","N"
3695,"North American Jet Charter Group","\N",,"NAJ","JET GROUP","United States","N"
3696,"North Atlantic Air Inc","\N",,"NAT","MASS AIR","United States","N"
3704,"North Star Air Cargo","\N",,"SBX","SKY BOX","United States","N"
3712,"Northaire Feight Lines","\N",,"NFL","GREAT LAKES","United States","N"
3714,"Northcoast Executive Airlines","\N",,"NCE","TOP HAT","United States","N"
3715,"Northeast Airlines","\N",,"NEE","NORTHEAST","United States","N"
3716,"Northeast Aviation","\N",,"NPX","NORTHEAST EXPRESS","United States","N"
3717,"Northern Air Cargo","\N","NC","NAC","YUKON","United States","N"
3719,"Northern Airways","\N",,"NDA","NORTHERN DAKOTA","United States","N"
3723,"Northern Illinois Commuter","\N",,"NIC","ILLINOIS COMMUTER","United States","N"
3724,"Northern Jet Management","\N",,"NTX","NORTAX","United States","N"
3726,"Northland Aviation","\N",,"KOE","KOKEE","United States","N"
3727,"Northstar Aviation","\N",,"NSS","NORTHSTAR","United States","N"
3730,"Northwest Aero Associates","\N",,"NWE",,"United States","N"
3731,"Northwest Airlines","\N","NW","NWA","NORTHWEST","United States","Y"
3739,"Notams International","\N",,"XNT",,"United States","N"
3758,"OSACOM","\N",,"JPA","J-PAT","United States","N"
3763,"Ocean Wings Commuter Service","\N",,"TUK","TUCKERNUCK","United States","N"
3773,"Oklahoma Department of Public Safety","\N",,"OKL","OKLAHOMA","United States","N"
3781,"Omni Air International","\N","OY","OAE","OMNI-EXPRESS","United States","Y"
3830,"Ozark Air Lines","\N","OZ","OZR","OZARK","United States","N"
3833,"PAC Air","\N",,"PCR","PACAIR","United States","N"
3836,"PDQ Air Charter","\N",,"PDQ","DISPATCH","United States","N"
3837,"PHH Aviation System","\N",,"XAS",,"United States","N"
3842,"PSA Airlines","\N",,"JIA","BLUE STREAK","United States","N"
3844,"Paccair","\N",,"WIS","WISCAIR","United States","N"
3845,"Pace Airlines","\N","Y5","PCE","PACE","United States","N"
3847,"Pacific Air Charter","\N",,"PRC","PACIFIC CHARTER","United States","N"
3848,"Pacific Air Express","\N",,"PCF","PACIFIC EXPRESS","United States","N"
3849,"Pacific Air Transport","\N",,"PXP","PAK EXPRESS","United States","N"
3851,"Pacific Alaska Airlines","\N",,"PAK","PACIFIC ALASKA","United States","N"
3853,"Pacific Aviation (United States)","\N",,"PCX",,"United States","N"
3855,"Pacific Coast Airlines","\N",,"PQA","SAGE BRUSH","United States","N"
3859,"Pacific International Airlines","\N",,"PIN","ROAD RUNNERS","United States","N"
3860,"Pacific Island Aviation","\N",,"PSA","PACIFIC ISLE","United States","Y"
3861,"Pacific Jet","\N",,"PCJ","PACIFIC JET","United States","N"
3864,"Pacific Southwest Airlines","\N","PS","PSX","SMILEY","United States","N"
3865,"Pacific Wings","\N","LW","NMI","TSUNAMI","United States","Y"
3867,"Pacificair Airlines","\N",,"PFR","PACIFIC WEST","United States","N"
3868,"Package Express","\N",,"RCY","RACE CITY","United States","N"
3870,"Pak West Airlines","\N",,"PKW","PLATINUM WEST","United States","N"
3881,"Pan Air","\N",,"PAX","PANNEX","United States","N"
3882,"Pan Am Weather Systems","\N",,"XPA",,"United States","N"
3885,"Pan American Airways","\N","PA","PAA",,"United States","N"
3886,"Pan American World Airways","\N","PA","PAA","CLIPPER","United States","N"
3892,"Panagra Airways","\N",,"PGI","PANAGRA","United States","N"
3898,"Panorama Air Tour","\N",,"PAH","LANI","United States","N"
3899,"Panorama Flight Service","\N",,"AFD","AIRFED","United States","N"
3902,"Paradise Airways","\N",,"PAI","SEA RAY","United States","N"
3903,"Paradise Island Airways","\N",,"PDI","PARADISE ISLAND","United States","N"
3904,"Paragon Air Express","\N",,"PGX","PARAGON EXPRESS","United States","N"
3908,"Parcel Express","\N",,"APE","AIR PARCEL","United States","N"
3917,"Patterson Aviation Company","\N",,"ETL","ENTEL","United States","N"
3931,"Pelican Express","\N",,"PEX","PELICAN EXPRESS","United States","N"
3935,"Peninsula Airways","\N","KS","PEN","PENINSULA","United States","Y"
3946,"Petroleum Helicopters","\N",,"PHM","PETROLEUM","United States","N"
3949,"Petty Transport","\N",,"PTY","PETTY","United States","N"
3954,"Phillips Air","\N",,"BCH","BEACHBALL","United States","N"
3955,"Phillips Alaska","\N",,"PDD","PADA","United States","N"
3956,"Phillips Michigan City Flying Service","\N",,"PHL","PHILLIPS","United States","N"
3959,"Phoenix Air Group","\N",,"PHA","GRAY BIRD","United States","N"
3962,"Phoenix Air Transport","\N",,"PPG","PAPAGO","United States","N"
3963,"Phoenix Airline Services","\N",,"WDY","WINDYCITY","United States","N"
3967,"Phoenix Flight Operations","\N",,"XPX",,"United States","N"
3969,"Piedmont Airlines (1948-1989)","\N","PI","PDT","PIEDMONT","United States","Y"
3975,"Pinnacle Air Group","\N",,"PCL","PINNACLE GROUP","United States","N"
3976,"Pinnacle Airlines","\N","9E","FLG","FLAGSHIP","United States","Y"
3977,"Pioneer Airlines","\N",,"PIO","PIONEER","United States","N"
3981,"Planemaster Services","\N",,"PMS","PLANEMASTER","United States","N"
3982,"Planet Airways","\N",,"PLZ","PLANET","United States","N"
3983,"Players Air","\N",,"PYZ","PLAYERS AIR","United States","N"
3986,"Pocono Air Lines","\N",,"POC","POCONO","United States","N"
3992,"Polar Air Cargo","\N","PO","PAC","POLAR","United States","N"
4012,"Polynesian Air-Ways","\N",,"PLA","POLYAIR","United States","N"
4016,"Pond Air Express","\N",,"PND","POND AIR","United States","N"
4019,"Port Townsend Airways","\N",,"PTQ","TOWNSEND","United States","N"
4026,"Potomac Air","\N","BK","PDC","DISTRICT","United States","Y"
4029,"Prairie Flying Service","\N",,"PFS","PRAIRIE","United States","N"
4032,"Precision Airlines","\N",,"PRE","PRECISION","United States","N"
4041,"Presidential Aviation","\N",,"PRD","PRESIDENTIAL","United States","N"
4042,"Priester Aviation","\N",,"PWA","PRIESTER","United States","N"
4044,"Primaris Airlines","\N","FE","WCP","WHITECAP","United States","N"
4045,"Primas Courier","\N",,"PMC","PRIMAC","United States","N"
4047,"Prime Air","\N",,"PRM","PRIME AIR","United States","N"
4052,"Princeton Aviation Corporation","\N",,"PCN","PRINCETON","United States","N"
4053,"Priority Air Charter","\N",,"PRY","PRIORITY AIR","United States","N"
4054,"Priority Air Transport","\N",,"PAT","PAT","United States","N"
4055,"Priority Aviation Company","\N",,"BCK","BANKCHECK","United States","N"
4057,"Private Jet Expeditions","\N",,"PJE","PEE JAY","United States","N"
4058,"Private Jet Management","\N",,"PJA","PRIVATE FLIGHT","United States","N"
4061,"Pro Air","\N",,"PRH","PROHAWK","United States","N"
4062,"Pro Air Service","\N",,"PSZ","POP-AIR","United States","N"
