"Airport ID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","Tz database time zone","Type","Source"
3364,"Beijing Capital International Airport","Beijing","China","PEK","ZBAA",40.0801010131836,116.58499908447266,116,"8","U","Asia/Shanghai","airport","OurAirports"
3366,"Dongshan Airport","Hailar","China","HLD","ZBLA",49.2050018311,119.82499694799999,2169,"8","U","Asia/Shanghai","airport","OurAirports"
3368,"Tianjin Binhai International Airport","Tianjin","China","TSN","ZBTJ",39.1244010925,117.346000671,10,"8","U","Asia/Shanghai","airport","OurAirports"
3369,"Taiyuan Wusu Airport","Taiyuan","China","TYN","ZBYN",37.74689865112305,112.62799835205078,2575,"8","U","Asia/Shanghai","airport","OurAirports"
3370,"Guangzhou Baiyun International Airport","Guangzhou","China","CAN","ZGGG",23.39240074157715,113.29900360107422,50,"8","U","Asia/Shanghai","airport","OurAirports"
3371,"Changsha Huanghua International Airport","Changcha","China","CSX","ZGHA",28.189199447600004,113.220001221,217,"8","U","Asia/Shanghai","airport","OurAirports"
3372,"Guilin Liangjiang International Airport","Guilin","China","KWL","ZGKL",25.21809959411621,110.03900146484376,570,"8","U","Asia/Shanghai","airport","OurAirports"
3373,"Nanning Wuxu Airport","Nanning","China","NNG","ZGNN",22.60829925537109,108.1719970703125,421,"8","U","Asia/Shanghai","airport","OurAirports"
3374,"Shenzhen Bao'an International Airport","Shenzhen","China","SZX","ZGSZ",22.639299392700195,113.81099700927734,13,"8","U","Asia/Shanghai","airport","OurAirports"
3375,"Zhengzhou Xinzheng International Airport","Zhengzhou","China","CGO","ZHCC",34.519699096699995,113.84100341799999,495,"8","U","Asia/Shanghai","airport","OurAirports"
3376,"Wuhan Tianhe International Airport","Wuhan","China","WUH","ZHHH",30.7838,114.208,113,"8","U","Asia/Shanghai","airport","OurAirports"
3378,"Lanzhou Zhongchuan Airport","Lanzhou","China","LHW","ZLLL",36.5152015686,103.620002747,6388,"8","U","Asia/Shanghai","airport","OurAirports"
3379,"Xi'an Xianyang International Airport","Xi'an","China","XIY","ZLXY",34.447102,108.751999,1572,"8","U","Asia/Shanghai","airport","OurAirports"
3381,"Xishuangbanna Gasa Airport","Jinghonggasa","China","JHG","ZPJH",21.973899841308594,100.76000213623048,1815,"8","U","Asia/Shanghai","airport","OurAirports"
3382,"Kunming Changshui International Airport","Kunming","China","KMG","ZPPP",25.101944399999997,102.9291667,6903,"8","N","Asia/Shanghai","airport","OurAirports"
3383,"Xiamen Gaoqi International Airport","Xiamen","China","XMN","ZSAM",24.54400062561035,118.12799835205078,59,"8","U","Asia/Shanghai","airport","OurAirports"
3384,"Nanchang Changbei International Airport","Nanchang","China","KHN","ZSCN",28.864999771118164,115.9000015258789,143,"8","U","Asia/Shanghai","airport","OurAirports"
3385,"Fuzhou Changle International Airport","Fuzhou","China","FOC","ZSFZ",25.935100555419922,119.66300201416016,46,"8","U","Asia/Shanghai","airport","OurAirports"
3386,"Hangzhou Xiaoshan International Airport","Hangzhou","China","HGH","ZSHC",30.22949981689453,120.43399810791016,23,"8","U","Asia/Shanghai","airport","OurAirports"
3387,"Ningbo Lishe International Airport","Ninbo","China","NGB","ZSNB",29.82670021057129,121.46199798583984,13,"8","U","Asia/Shanghai","airport","OurAirports"
3388,"Nanjing Lukou Airport","Nanjing","China","NKG","ZSNJ",31.742000579833984,118.86199951171876,49,"8","U","Asia/Shanghai","airport","OurAirports"
3389,"Hefei Luogang International Airport","Hefei","China","HFE","ZSOF",31.78000068664551,117.2979965209961,108,"8","U","Asia/Shanghai","airport","OurAirports"
3390,"Liuting Airport","Qingdao","China","TAO","ZSQD",36.2661018372,120.374000549,33,"8","U","Asia/Shanghai","airport","OurAirports"
3391,"Shanghai Hongqiao International Airport","Shanghai","China","SHA","ZSSS",31.19790077209473,121.33599853515624,10,"8","U","Asia/Shanghai","airport","OurAirports"
3392,"Yantai Laishan Airport","Yantai","China","YNT","ZSYT",37.40169906616211,121.37200164794922,59,"8","U","Asia/Shanghai","airport","OurAirports"
3393,"Chongqing Jiangbei International Airport","Chongqing","China","CKG","ZUCK",29.719200134277344,106.64199829101562,1365,"8","U","Asia/Shanghai","airport","OurAirports"
3394,"Longdongbao Airport","Guiyang","China","KWE","ZUGY",26.53849983215332,106.8010025024414,3736,"8","U","Asia/Shanghai","airport","OurAirports"
3395,"Chengdu Shuangliu International Airport","Chengdu","China","CTU","ZUUU",30.578500747680664,103.9469985961914,1625,"8","U","Asia/Shanghai","airport","OurAirports"
3396,"Xichang Qingshan Airport","Xichang","China","XIC","ZUXC",27.98909950256348,102.18399810791016,5112,"8","U","Asia/Shanghai","airport","OurAirports"
3397,"Kashgar Airport","Kashi","China","KHG","ZWSH",39.5429000854,76.0199966431,4529,"8","U","Asia/Shanghai","airport","OurAirports"
3398,"Hotan Airport","Hotan","China","HTN","ZWTN",37.03850173950195,79.86489868164062,4672,"8","U","Asia/Shanghai","airport","OurAirports"
3399,"ÃœrÃ¼mqi Diwopu International Airport","Urumqi","China","URC","ZWWW",43.90710067749024,87.47419738769531,2125,"8","U","Asia/Shanghai","airport","OurAirports"
3400,"Taiping Airport","Harbin","China","HRB","ZYHB",45.6234016418457,126.25,457,"8","U","Asia/Shanghai","airport","OurAirports"
3402,"Mudanjiang Hailang International Airport","Mudanjiang","China","MDG","ZYMD",44.524101257299996,129.569000244,883,"8","U","Asia/Shanghai","airport","OurAirports"
3404,"Zhoushuizi Airport","Dalian","China","DLC","ZYTL",38.9656982421875,121.53900146484376,107,"8","U","Asia/Shanghai","airport","OurAirports"
3406,"Shanghai Pudong International Airport","Shanghai","China","PVG","ZSPD",31.143400192260746,121.80500030517578,13,"8","U","Asia/Shanghai","airport","OurAirports"
4030,"Sanya Phoenix International Airport","Sanya","China","SYX","ZJSY",18.30290031433105,109.41200256347656,92,"8","U","Asia/Shanghai","airport","OurAirports"
4033,"Lijiang Airport","Lijiang","China","LJG","ZPLJ",26.6800003052,100.24600219700001,0,"8","U","Asia/Shanghai","airport","OurAirports"
4054,"Dali Airport","Dali","China","DLU","ZPDL",25.649401,100.319,7050,"8","U","Asia/Shanghai","airport","OurAirports"
4085,"Yinchuan Airport","Yinchuan","China","\N","ZLIC",38.481899,106.009003,0,"8","U","Asia/Shanghai","airport","OurAirports"
4097,"Lhasa Gonggar Airport","Lhasa","China","LXA","ZULS",29.2978000641,90.9119033813,11713,"8","U","Asia/Shanghai","airport","OurAirports"
4108,"Yaoqiang Airport","Jinan","China","TNA","ZSJN",36.857200622558594,117.21600341796876,76,"8","U","Asia/Shanghai","airport","OurAirports"
4109,"Changzhou Benniu Airport","Changzhou","China","CZX","ZSCG",31.919701,119.778999,0,"8","U","Asia/Shanghai","airport","OurAirports"
4110,"Yibin Caiba Airport","Yibin","China","YBP","ZUYB",28.8005555556,104.545,924,"8","U","Asia/Shanghai","airport","OurAirports"
4120,"Haikou Meilan International Airport","Haikou","China","HAK","ZJHK",19.93490028381348,110.45899963378906,75,"8","U","Asia/Shanghai","airport","OurAirports"
4144,"Taoxian Airport","Shenyang","China","SHE","ZYTX",41.63980102539063,123.48300170898438,198,"8","U","Asia/Shanghai","airport","OurAirports"
4145,"Dongying Shengli Airport","Dongying","China","DOY","ZSDY",37.508598327600005,118.788002014,15,"8","U","Asia/Shanghai","airport","OurAirports"
4148,"Luoyang Airport","Luoyang","China","LYA","ZHLY",34.741100311299995,112.38800048799999,840,"8","U","Asia/Shanghai","airport","OurAirports"
4149,"Xuzhou Guanyin Airport","Xuzhou","China","XUZ","ZSXZ",34.059056,117.555278,0,"8","U","Asia/Shanghai","airport","OurAirports"
4301,"Jiuzhai Huanglong Airport","Jiuzhaigou","China","JZH","ZUJZ",32.8533333333,103.68222222200001,11327,"8","U","Asia/Shanghai","airport","OurAirports"
4302,"Jieyang Chaoshan International Airport","Shantou","China","SWA","ZGOW",23.552,116.5033,0,"8","U","Asia/Shanghai","airport","OurAirports"
4308,"Dunhuang Airport","Dunhuang","China","DNH","ZLDH",40.16109848022461,94.80919647216795,0,"8","U","Asia/Shanghai","airport","OurAirports"
4380,"Longjia Airport","Changchun","China","CGQ","ZYCC",43.9962005615,125.684997559,706,"8","U","Asia/Shanghai","airport","OurAirports"
6341,"Beijing Nanyuan Airport","Beijing","China","NAY","ZBNY",39.782798767089844,116.38800048828124,0,"8","U","Asia/Shanghai","airport","OurAirports"
6342,"Chifeng Airport","Chifeng","China","CIF","ZBCF",42.23500061035156,118.90799713134766,0,"8","U","Asia/Shanghai","airport","OurAirports"
6343,"Changzhi Airport","Changzhi","China","CIH","ZBCZ",36.247501,113.125999,0,"8","U","Asia/Shanghai","airport","OurAirports"
6344,"Datong Airport","Datong","China","DAT","ZBDT",40.060299,113.48200200000001,3442,"8","U","Asia/Shanghai","airport","OurAirports"
6345,"Baita International Airport","Hohhot","China","HET","ZBHH",40.851397999999996,111.82399699999999,3556,"8","U","Asia/Shanghai","airport","OurAirports"
6346,"Baotou Airport","Baotou","China","BAV","ZBOW",40.560001373291016,109.99700164794922,3321,"8","U","Asia/Shanghai","airport","OurAirports"
6347,"Shijiazhuang Daguocun International Airport","Shijiazhuang","China","SJW","ZBSJ",38.28070068359375,114.6969985961914,233,"8","U","Asia/Shanghai","airport","OurAirports"
6348,"Tongliao Airport","Tongliao","China","TGO","ZBTL",43.556702,122.199997,2395,"8","U","Asia/Shanghai","airport","OurAirports"
6349,"Ulanhot Airport","Ulanhot","China","HLH","ZBUL",46.195333000000005,122.00833300000001,0,"8","U","Asia/Shanghai","airport","OurAirports"
6350,"Xilinhot Airport","Xilinhot","China","XIL","ZBXH",43.91559982299805,115.96399688720705,0,"8","U","Asia/Shanghai","airport","OurAirports"
6351,"Beihai Airport","Beihai","China","BHY","ZGBH",21.5394,109.293999,0,"8","U","Asia/Shanghai","airport","OurAirports"
6352,"Changde Airport","Changde","China","CGD","ZGCD",28.9188995361,111.63999939,128,"8","U","Asia/Shanghai","airport","OurAirports"
6353,"Dayong Airport","Dayong","China","DYG","ZGDY",29.1028,110.443001,692,"8","U","Asia/Shanghai","airport","OurAirports"
6354,"Meixian Airport","Meixian","China","MXZ","ZGMX",24.35000038146973,116.13300323486328,0,"8","U","Asia/Shanghai","airport","OurAirports"
6355,"Zhuhai Jinwan Airport","Zhuhai","China","ZUH","ZGSD",22.006399,113.375999,23,"8","U","Asia/Shanghai","airport","OurAirports"
6356,"Liuzhou Bailian Airport","Liuzhou","China","LZH","ZGZH",24.2075,109.390999,295,"8","U","Asia/Shanghai","airport","OurAirports"
6357,"Zhanjiang Airport","Zhanjiang","China","ZHA","ZGZJ",21.214399,110.358002,125,"8","U","Asia/Shanghai","airport","OurAirports"
6358,"Enshi Airport","Enshi","China","ENH","ZHES",30.3202991486,109.48500061,1605,"8","U","Asia/Shanghai","airport","OurAirports"
6359,"Nanyang Jiangying Airport","Nanyang","China","NNY","ZHNY",32.980801,112.614998,840,"8","U","Asia/Shanghai","airport","OurAirports"
6360,"Xiangyang Liuji Airport","Xiangfan","China","XFN","ZHXF",32.1506,112.291,0,"8","U","Asia/Shanghai","airport","OurAirports"
6361,"Yichang Sanxia Airport","Yichang","China","YIH","ZHYC",30.55655,111.47998799999999,673,"8","U","Asia/Shanghai","airport","OurAirports"
6362,"Ankang Wulipu Airport","Ankang","China","AKA","ZLAK",32.708099,108.931,860,"8","U","Asia/Shanghai","airport","OurAirports"
6363,"Golmud Airport","Golmud","China","GOQ","ZLGM",36.4006,94.786102,9334,"8","U","Asia/Shanghai","airport","OurAirports"
6364,"Hanzhong Chenggu Airport","Hanzhong","China","HZG","ZLHZ",33.134136,107.206014,0,"8","U","Asia/Shanghai","airport","OurAirports"
6365,"Qingyang Airport","Qingyang","China","IQN","ZLQY",35.799702,107.602997,0,"8","U","Asia/Shanghai","airport","OurAirports"
6366,"Xining Caojiabu Airport","Xining","China","XNN","ZLXN",36.5275,102.042999,7119,"8","U","Asia/Shanghai","airport","OurAirports"
6367,"Yan'an Ershilipu Airport","Yan'an","China","ENY","ZLYA",36.636902,109.554001,3100,"8","U","Asia/Shanghai","airport","OurAirports"
6368,"Yulin Yuyang Airport","Yulin","China","UYN","ZLYL",38.35971,109.59092700000001,0,"8","U","Asia/Shanghai","airport","OurAirports"
6375,"Diqing Airport","Shangri-La","China","DIG","ZPDQ",27.7936,99.6772,10761,"8","U","Asia/Shanghai","airport","OurAirports"
6376,"Mangshi Airport","Luxi","China","LUM","ZPLX",24.4011,98.5317,2890,"8","U","Asia/Shanghai","airport","OurAirports"
6377,"Pu'er Simao Airport","Simao","China","SYM","ZPSM",22.793301,100.959,0,"8","U","Asia/Shanghai","airport","OurAirports"
6378,"Zhaotong Airport","Zhaotong","China","ZAT","ZPZT",27.32559967041016,103.75499725341795,0,"8","U","Asia/Shanghai","airport","OurAirports"
6379,"Ganzhou Airport","Ganzhou","China","KOW","ZSGZ",25.853333,114.77888899999999,387,"8","U","Asia/Shanghai","airport","OurAirports"
6380,"Jingdezhen Airport","Jingdezhen","China","JDZ","ZSJD",29.3386001587,117.176002502,112,"8","U","Asia/Shanghai","airport","OurAirports"
6381,"Jiujiang Lushan Airport","Jiujiang","China","JIU","ZSJJ",29.476944,115.801111,0,"8","U","Asia/Shanghai","airport","OurAirports"
6382,"Quzhou Airport","Quzhou","China","JUZ","ZSJU",28.965799,118.899002,0,"8","U","Asia/Shanghai","airport","OurAirports"
6383,"Lianyungang Airport","Lianyungang","China","LYG","ZSLG",34.571667,118.87361100000001,0,"8","U","Asia/Shanghai","airport","OurAirports"
6384,"Huangyan Luqiao Airport","Huangyan","China","HYN","ZSLQ",28.56220054626465,121.4290008544922,0,"8","U","Asia/Shanghai","airport","OurAirports"
6385,"Shubuling Airport","Linyi","China","LYI","ZSLY",35.04610061645508,118.41200256347656,0,"8","U","Asia/Shanghai","airport","OurAirports"
6386,"Quanzhou Jinjiang International Airport","Quanzhou","China","JJN","ZSQZ",24.7964,118.589996,0,"8","U","Asia/Shanghai","airport","OurAirports"
6387,"Tunxi International Airport","Huangshan","China","TXN","ZSTX",29.73329925537109,118.25599670410156,0,"8","U","Asia/Shanghai","airport","OurAirports"
6388,"Weifang Airport","Weifang","China","WEF","ZSWF",36.646702000000005,119.119003,0,"8","U","Asia/Shanghai","airport","OurAirports"
6389,"Weihai Airport","Weihai","China","WEH","ZSWH",37.18709945678711,122.22899627685548,145,"8","U","Asia/Shanghai","airport","OurAirports"
6390,"Sunan Shuofang International Airport","Wuxi","China","WUX","ZSWX",31.4944000244,120.429000854,24,"8","U","Asia/Shanghai","airport","OurAirports"
6391,"Nanping Wuyishan Airport","Wuyishan","China","WUS","ZSWY",27.7019,118.000999,614,"8","U","Asia/Shanghai","airport","OurAirports"
6392,"Wenzhou Longwan International Airport","Wenzhou","China","WNZ","ZSWZ",27.912201,120.851997,0,"8","U","Asia/Shanghai","airport","OurAirports"
6393,"Yancheng Airport","Yancheng","China","YNZ","ZSYN",33.425833000000004,120.203056,0,"8","U","Asia/Shanghai","airport","OurAirports"
6394,"Yiwu Airport","Yiwu","China","YIW","ZSYW",29.344699859600002,120.03199768100001,262,"8","U","Asia/Shanghai","airport","OurAirports"
6395,"Zhoushan Airport","Zhoushan","China","HSN","ZSZS",29.9342002869,122.36199951200001,3,"8","U","Asia/Shanghai","airport","OurAirports"
6396,"Qamdo Bangda Airport","Bangda","China","BPX","ZUBD",30.553600311279297,97.1082992553711,14219,"8","U","Asia/Shanghai","airport","OurAirports"
6397,"Dachuan Airport","Dazhou","China","DAX","ZUDX",31.1302,107.4295,0,"8","U","Asia/Shanghai","airport","OurAirports"
6398,"Guangyuan Airport","Guangyuan","China","GYS","ZUGU",32.391101837158196,105.7020034790039,0,"8","U","Asia/Shanghai","airport","OurAirports"
6399,"Luzhou Airport","Luzhou","China","LZO","ZULZ",28.85219955444336,105.39299774169922,0,"8","U","Asia/Shanghai","airport","OurAirports"
6400,"Mianyang Airport","Mianyang","China","MIG","ZUMY",31.4281005859375,104.74099731445312,0,"8","U","Asia/Shanghai","airport","OurAirports"
6401,"Nanchong Airport","Nanchong","China","NAO","ZUNC",30.79545,106.1626,0,"8","U","Asia/Shanghai","airport","OurAirports"
6402,"Nyingchi Airport","Nyingchi","China","LZY","ZUNZ",29.303300857543945,94.33529663085938,9675,"8","U","Asia/Shanghai","airport","OurAirports"
6403,"Wanxian Airport","Wanxian","China","WXN","ZUWX",30.8017,108.43299999999999,0,"8","U","Asia/Shanghai","airport","OurAirports"
6404,"Aksu Airport","Aksu","China","AKU","ZWAK",41.262501,80.291702,3816,"8","U","Asia/Shanghai","airport","OurAirports"
6405,"Qiemo Yudu Airport","Qiemo","China","IQM","ZWCM",38.233610999999996,85.465556,0,"8","U","Asia/Shanghai","airport","OurAirports"
6406,"Kuqa Airport","Kuqa","China","KCA","ZWKC",41.677856,82.872917,3524,"8","U","Asia/Shanghai","airport","OurAirports"
6407,"Korla Airport","Korla","China","KRL","ZWKL",41.69779968261719,86.12889862060547,0,"8","U","Asia/Shanghai","airport","OurAirports"
6408,"Karamay Airport","Karamay","China","KRY","ZWKM",45.46655,84.9527,0,"8","U","Asia/Shanghai","airport","OurAirports"
